bench,variant,size,run,us,encoded_len,compression_ratio,ret
bench_png_encode,mem0,1024,0,853.080,356,0.347656,0
bench_png_encode,mem0,1024,1,380.406,356,0.347656,0
bench_png_encode,mem0,1024,2,360.742,356,0.347656,0
bench_png_encode,mem0,1024,3,340.682,356,0.347656,0
bench_png_encode,mem0,1024,4,365.786,356,0.347656,0
bench_png_encode,mem0,2048,0,360.896,366,0.178711,0
bench_png_encode,mem0,2048,1,359.160,366,0.178711,0
bench_png_encode,mem0,2048,2,332.238,366,0.178711,0
bench_png_encode,mem0,2048,3,345.199,366,0.178711,0
bench_png_encode,mem0,2048,4,447.348,366,0.178711,0
bench_png_encode,mem0,4096,0,476.498,382,0.093262,0
bench_png_encode,mem0,4096,1,396.557,382,0.093262,0
bench_png_encode,mem0,4096,2,383.533,382,0.093262,0
bench_png_encode,mem0,4096,3,390.304,382,0.093262,0
bench_png_encode,mem0,4096,4,362.177,382,0.093262,0
bench_png_encode,mem0,8192,0,443.747,415,0.050659,0
bench_png_encode,mem0,8192,1,428.536,415,0.050659,0
bench_png_encode,mem0,8192,2,469.752,415,0.050659,0
bench_png_encode,mem0,8192,3,423.280,415,0.050659,0
bench_png_encode,mem0,8192,4,425.001,415,0.050659,0
bench_png_encode,mem0,16384,0,565.189,470,0.028687,0
bench_png_encode,mem0,16384,1,561.107,470,0.028687,0
bench_png_encode,mem0,16384,2,564.469,470,0.028687,0
bench_png_encode,mem0,16384,3,566.931,470,0.028687,0
bench_png_encode,mem0,16384,4,566.115,470,0.028687,0
bench_png_encode,mem0,32768,0,880.596,533,0.016266,0
bench_png_encode,mem0,32768,1,857.146,533,0.016266,0
bench_png_encode,mem0,32768,2,845.302,533,0.016266,0
bench_png_encode,mem0,32768,3,858.154,533,0.016266,0
bench_png_encode,mem0,32768,4,859.541,533,0.016266,0
bench_png_encode,mem0,65536,0,1431.919,640,0.009766,0
bench_png_encode,mem0,65536,1,1440.028,640,0.009766,0
bench_png_encode,mem0,65536,2,1468.785,640,0.009766,0
bench_png_encode,mem0,65536,3,1443.473,640,0.009766,0
bench_png_encode,mem0,65536,4,1425.593,640,0.009766,0
bench_png_encode,mem0,131072,0,2513.268,852,0.006500,0
bench_png_encode,mem0,131072,1,2458.088,852,0.006500,0
bench_png_encode,mem0,131072,2,2464.458,852,0.006500,0
bench_png_encode,mem0,131072,3,2405.054,852,0.006500,0
bench_png_encode,mem0,131072,4,2405.384,852,0.006500,0
bench_png_encode,mem0,262144,0,4593.169,1219,0.004650,0
bench_png_encode,mem0,262144,1,4645.956,1219,0.004650,0
bench_png_encode,mem0,262144,2,4446.046,1219,0.004650,0
bench_png_encode,mem0,262144,3,4670.674,1219,0.004650,0
bench_png_encode,mem0,262144,4,4409.638,1219,0.004650,0
bench_png_encode,mem0,524288,0,8466.249,1999,0.003813,0
bench_png_encode,mem0,524288,1,9092.251,1999,0.003813,0
bench_png_encode,mem0,524288,2,8647.826,1999,0.003813,0
bench_png_encode,mem0,524288,3,8649.668,1999,0.003813,0
bench_png_encode,mem0,524288,4,8456.213,1999,0.003813,0
bench_png_encode,mem0,1048576,0,16695.602,3546,0.003382,0
bench_png_encode,mem0,1048576,1,16637.131,3546,0.003382,0
bench_png_encode,mem0,1048576,2,17691.583,3546,0.003382,0
bench_png_encode,mem0,1048576,3,17298.265,3546,0.003382,0
bench_png_encode,mem0,1048576,4,16584.235,3546,0.003382,0
bench_png_encode,mem0,2097152,0,32906.903,6632,0.003162,0
bench_png_encode,mem0,2097152,1,33092.262,6632,0.003162,0
bench_png_encode,mem0,2097152,2,32789.347,6632,0.003162,0
bench_png_encode,mem0,2097152,3,33213.167,6632,0.003162,0
bench_png_encode,mem0,2097152,4,34306.589,6632,0.003162,0
