file,variant,run,png_bytes,decoded_bytes,width,height,us,compression_ratio,ret
basi0g01.png,mem1,0,217,4096,32,32,881.845,0.052979,0
basi0g01.png,mem1,1,217,4096,32,32,426.848,0.052979,0
basi0g01.png,mem1,2,217,4096,32,32,322.463,0.052979,0
basi0g01.png,mem1,3,217,4096,32,32,314.352,0.052979,0
basi0g01.png,mem1,4,217,4096,32,32,323.824,0.052979,0
basi0g01.png,mem1,5,217,4096,32,32,352.855,0.052979,0
basi0g01.png,mem1,6,217,4096,32,32,297.098,0.052979,0
basi0g01.png,mem1,7,217,4096,32,32,393.074,0.052979,0
basi0g01.png,mem1,8,217,4096,32,32,428.566,0.052979,0
basi0g01.png,mem1,9,217,4096,32,32,330.873,0.052979,0
basi0g02.png,mem1,0,154,4096,32,32,388.079,0.037598,0
basi0g02.png,mem1,1,154,4096,32,32,343.630,0.037598,0
basi0g02.png,mem1,2,154,4096,32,32,289.116,0.037598,0
basi0g02.png,mem1,3,154,4096,32,32,378.415,0.037598,0
basi0g02.png,mem1,4,154,4096,32,32,316.369,0.037598,0
basi0g02.png,mem1,5,154,4096,32,32,307.272,0.037598,0
basi0g02.png,mem1,6,154,4096,32,32,281.321,0.037598,0
basi0g02.png,mem1,7,154,4096,32,32,305.005,0.037598,0
basi0g02.png,mem1,8,154,4096,32,32,365.329,0.037598,0
basi0g02.png,mem1,9,154,4096,32,32,416.980,0.037598,0
basi0g04.png,mem1,0,247,4096,32,32,315.547,0.060303,0
basi0g04.png,mem1,1,247,4096,32,32,359.328,0.060303,0
basi0g04.png,mem1,2,247,4096,32,32,488.913,0.060303,0
basi0g04.png,mem1,3,247,4096,32,32,873.719,0.060303,0
basi0g04.png,mem1,4,247,4096,32,32,489.119,0.060303,0
basi0g04.png,mem1,5,247,4096,32,32,431.979,0.060303,0
basi0g04.png,mem1,6,247,4096,32,32,635.635,0.060303,0
basi0g04.png,mem1,7,247,4096,32,32,482.202,0.060303,0
basi0g04.png,mem1,8,247,4096,32,32,460.927,0.060303,0
basi0g04.png,mem1,9,247,4096,32,32,473.015,0.060303,0
basi0g08.png,mem1,0,254,4096,32,32,416.937,0.062012,0
basi0g08.png,mem1,1,254,4096,32,32,537.364,0.062012,0
basi0g08.png,mem1,2,254,4096,32,32,425.611,0.062012,0
basi0g08.png,mem1,3,254,4096,32,32,1323.110,0.062012,0
basi0g08.png,mem1,4,254,4096,32,32,371.673,0.062012,0
basi0g08.png,mem1,5,254,4096,32,32,377.290,0.062012,0
basi0g08.png,mem1,6,254,4096,32,32,363.304,0.062012,0
basi0g08.png,mem1,7,254,4096,32,32,445.387,0.062012,0
basi0g08.png,mem1,8,254,4096,32,32,508.215,0.062012,0
basi0g08.png,mem1,9,254,4096,32,32,457.965,0.062012,0
