bench,variant,size,run,us,encoded_len,compression_ratio,ret
bench_png_decode,sfi,1024,0,ERR,,,encode: -205
bench_png_decode,sfi,1024,1,ERR,,,encode: -205
bench_png_decode,sfi,1024,2,ERR,,,encode: -205
bench_png_decode,sfi,1024,3,ERR,,,encode: -205
bench_png_decode,sfi,1024,4,ERR,,,encode: -205
bench_png_decode,sfi,2048,0,ERR,,,encode: -205
bench_png_decode,sfi,2048,1,ERR,,,encode: -205
bench_png_decode,sfi,2048,2,ERR,,,encode: -205
bench_png_decode,sfi,2048,3,ERR,,,encode: -205
bench_png_decode,sfi,2048,4,ERR,,,encode: -205
bench_png_decode,sfi,4096,0,ERR,,,encode: -205
bench_png_decode,sfi,4096,1,ERR,,,encode: -205
bench_png_decode,sfi,4096,2,ERR,,,encode: -205
bench_png_decode,sfi,4096,3,ERR,,,encode: -205
bench_png_decode,sfi,4096,4,ERR,,,encode: -205
bench_png_decode,sfi,8192,0,ERR,,,encode: -205
bench_png_decode,sfi,8192,1,ERR,,,encode: -205
bench_png_decode,sfi,8192,2,ERR,,,encode: -205
bench_png_decode,sfi,8192,3,ERR,,,encode: -205
bench_png_decode,sfi,8192,4,ERR,,,encode: -205
bench_png_decode,sfi,16384,0,ERR,,,encode: -205
bench_png_decode,sfi,16384,1,ERR,,,encode: -205
bench_png_decode,sfi,16384,2,ERR,,,encode: -205
bench_png_decode,sfi,16384,3,ERR,,,encode: -205
bench_png_decode,sfi,16384,4,ERR,,,encode: -205
bench_png_decode,sfi,32768,0,ERR,,,encode: -205
bench_png_decode,sfi,32768,1,ERR,,,encode: -205
bench_png_decode,sfi,32768,2,ERR,,,encode: -205
bench_png_decode,sfi,32768,3,ERR,,,encode: -205
bench_png_decode,sfi,32768,4,ERR,,,encode: -205
bench_png_decode,sfi,65536,0,ERR,,,encode: -205
bench_png_decode,sfi,65536,1,ERR,,,encode: -205
bench_png_decode,sfi,65536,2,ERR,,,encode: -205
bench_png_decode,sfi,65536,3,ERR,,,encode: -205
bench_png_decode,sfi,65536,4,ERR,,,encode: -205
bench_png_decode,sfi,131072,0,ERR,,,encode: -205
bench_png_decode,sfi,131072,1,ERR,,,encode: -205
bench_png_decode,sfi,131072,2,ERR,,,encode: -205
bench_png_decode,sfi,131072,3,ERR,,,encode: -205
bench_png_decode,sfi,131072,4,ERR,,,encode: -205
bench_png_decode,sfi,262144,0,ERR,,,encode: -205
bench_png_decode,sfi,262144,1,ERR,,,encode: -205
bench_png_decode,sfi,262144,2,ERR,,,encode: -205
bench_png_decode,sfi,262144,3,ERR,,,encode: -205
bench_png_decode,sfi,262144,4,ERR,,,encode: -205
bench_png_decode,sfi,524288,0,ERR,,,encode: -205
bench_png_decode,sfi,524288,1,ERR,,,encode: -205
bench_png_decode,sfi,524288,2,ERR,,,encode: -205
bench_png_decode,sfi,524288,3,ERR,,,encode: -205
bench_png_decode,sfi,524288,4,ERR,,,encode: -205
bench_png_decode,sfi,1048576,0,ERR,,,encode: -205
bench_png_decode,sfi,1048576,1,ERR,,,encode: -205
bench_png_decode,sfi,1048576,2,ERR,,,encode: -205
bench_png_decode,sfi,1048576,3,ERR,,,encode: -205
bench_png_decode,sfi,1048576,4,ERR,,,encode: -205
bench_png_decode,sfi,2097152,0,ERR,,,encode: -205
bench_png_decode,sfi,2097152,1,ERR,,,encode: -205
bench_png_decode,sfi,2097152,2,ERR,,,encode: -205
bench_png_decode,sfi,2097152,3,ERR,,,encode: -205
bench_png_decode,sfi,2097152,4,ERR,,,encode: -205
