file,variant,run,png_bytes,decoded_bytes,width,height,us,compression_ratio,ret
abstract-shape-3d-glass-object.png,sfi,0,1021109,13112000,2000,1639,155453.135,0.077876,0
abstract-shape-3d-glass-object.png,sfi,1,1021109,13112000,2000,1639,155219.767,0.077876,0
abstract-shape-3d-glass-object.png,sfi,2,1021109,13112000,2000,1639,151360.407,0.077876,0
abstract-shape-3d-glass-object.png,sfi,3,1021109,13112000,2000,1639,150842.290,0.077876,0
abstract-shape-3d-glass-object.png,sfi,4,1021109,13112000,2000,1639,151568.732,0.077876,0
debian-logo.png,sfi,0,1206,9216,48,48,228.453,0.130859,0
debian-logo.png,sfi,1,1206,9216,48,48,273.244,0.130859,0
debian-logo.png,sfi,2,1206,9216,48,48,231.417,0.130859,0
debian-logo.png,sfi,3,1206,9216,48,48,218.030,0.130859,0
debian-logo.png,sfi,4,1206,9216,48,48,213.480,0.130859,0
folder.png,sfi,0,179,1024,16,16,73.027,0.174805,0
folder.png,sfi,1,179,1024,16,16,69.517,0.174805,0
folder.png,sfi,2,179,1024,16,16,71.432,0.174805,0
folder.png,sfi,3,179,1024,16,16,75.671,0.174805,0
folder.png,sfi,4,179,1024,16,16,67.639,0.174805,0
funny-german-shepherd-dog-3d-illustration.png,sfi,0,8143502,74334520,4238,4385,957485.580,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,sfi,1,8143502,74334520,4238,4385,904370.652,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,sfi,2,8143502,74334520,4238,4385,881662.877,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,sfi,3,8143502,74334520,4238,4385,882190.144,0.109552,0
funny-german-shepherd-dog-3d-illustration.png,sfi,4,8143502,74334520,4238,4385,903581.773,0.109552,0
icons8-c++-480.png,sfi,0,16002,921600,480,480,8472.624,0.017363,0
icons8-c++-480.png,sfi,1,16002,921600,480,480,8393.526,0.017363,0
icons8-c++-480.png,sfi,2,16002,921600,480,480,8255.345,0.017363,0
icons8-c++-480.png,sfi,3,16002,921600,480,480,8217.996,0.017363,0
icons8-c++-480.png,sfi,4,16002,921600,480,480,8335.513,0.017363,0
rust-logo-256x256-blk.png,sfi,0,5591,262144,256,256,2308.677,0.021328,0
rust-logo-256x256-blk.png,sfi,1,5591,262144,256,256,2197.737,0.021328,0
rust-logo-256x256-blk.png,sfi,2,5591,262144,256,256,2171.782,0.021328,0
rust-logo-256x256-blk.png,sfi,3,5591,262144,256,256,2162.875,0.021328,0
rust-logo-256x256-blk.png,sfi,4,5591,262144,256,256,2197.499,0.021328,0
ubuntu-logo-text.png,sfi,0,5278,94640,260,91,1037.967,0.055769,0
ubuntu-logo-text.png,sfi,1,5278,94640,260,91,1117.223,0.055769,0
ubuntu-logo-text.png,sfi,2,5278,94640,260,91,1056.893,0.055769,0
ubuntu-logo-text.png,sfi,3,5278,94640,260,91,1033.281,0.055769,0
ubuntu-logo-text.png,sfi,4,5278,94640,260,91,1024.756,0.055769,0
user-home.png,sfi,0,202,1024,16,16,69.616,0.197266,0
user-home.png,sfi,1,202,1024,16,16,73.406,0.197266,0
user-home.png,sfi,2,202,1024,16,16,83.531,0.197266,0
user-home.png,sfi,3,202,1024,16,16,67.823,0.197266,0
user-home.png,sfi,4,202,1024,16,16,73.633,0.197266,0
