size,mem0_us,mem1_us,mem1_over_mem0
geomean_ratio,,,1.1567549575630205
1,32.833,36.683,1.117260073706332
2,32.583,35.139,1.0784458153024585
4,31.844,34.479,1.0827471423188042
8,32.14,36.219,1.1269135034225264
16,32.505,35.752,1.0998923242578065
32,33.168,35.828,1.080197780993729
64,33.239,36.564,1.1000330936550438
128,33.975,37.523,1.104429727740986
256,35.154,38.339,1.0906013540422141
512,35.739,39.566,1.1070818993256668
1024,37.411,41.675,1.1139771724893746
2048,43.025,47.037,1.0932481115630448
4096,53.175,58.241,1.095270333803479
8192,70.583,81.901,1.160350225975093
16384,107.104,124.879,1.1659601882282642
32768,153.62,188.408,1.2264548886863689
65536,253.865,312.895,1.2325251610107733
131072,462.491,565.577,1.222892986025674
262144,885.243,1089.573,1.230817978792264
524288,1665.948,2135.983,1.2821426599149555
1048576,3290.547,4431.708,1.3467997873909716
2097152,6538.076,8861.119,1.3553098801543453
