size,mem0_us,sfi_us,sfi_over_mem0
geomean_ratio,,,1.6111097266570664
1,32.833,33.522,1.0209849846191332
2,32.583,31.834,0.9770125525580825
4,31.844,31.604,0.992463258384625
8,32.14,31.812,0.9897946484131923
16,32.505,31.672,0.9743731733579448
32,33.168,33.189,1.0006331403762663
64,33.239,34.979,1.0523481452510606
128,33.975,36.919,1.0866519499632081
256,35.154,39.073,1.1114809125561813
512,35.739,42.278,1.1829653879515376
1024,37.411,48.459,1.2953142123974233
2048,43.025,62.203,1.4457408483439862
4096,53.175,88.673,1.6675693464974144
8192,70.583,138.761,1.9659266395591006
16384,107.104,241.736,2.257021213026591
32768,153.62,393.307,2.560259080848848
65536,253.865,673.404,2.652606700411636
131072,462.491,1380.82,2.9856148552079933
262144,885.243,2674.464,3.0211636804809525
524288,1665.948,5284.926,3.172323505895742
1048576,3290.547,10273.863,3.122235603989245
2097152,6538.076,19509.18,2.9839328879015783
