bench,variant,size,run,us,compressed_len,ret
bench_snappy_uncompress,mem0,1,0,32.146,3,0
bench_snappy_uncompress,mem0,1,1,29.590,3,0
bench_snappy_uncompress,mem0,1,2,28.765,3,0
bench_snappy_uncompress,mem0,1,3,28.383,3,0
bench_snappy_uncompress,mem0,1,4,28.230,3,0
bench_snappy_uncompress,mem0,2,0,31.983,4,0
bench_snappy_uncompress,mem0,2,1,28.756,4,0
bench_snappy_uncompress,mem0,2,2,29.001,4,0
bench_snappy_uncompress,mem0,2,3,28.543,4,0
bench_snappy_uncompress,mem0,2,4,28.074,4,0
bench_snappy_uncompress,mem0,4,0,28.603,6,0
bench_snappy_uncompress,mem0,4,1,28.241,6,0
bench_snappy_uncompress,mem0,4,2,28.662,6,0
bench_snappy_uncompress,mem0,4,3,28.815,6,0
bench_snappy_uncompress,mem0,4,4,28.869,6,0
bench_snappy_uncompress,mem0,8,0,28.437,10,0
bench_snappy_uncompress,mem0,8,1,28.720,10,0
bench_snappy_uncompress,mem0,8,2,28.295,10,0
bench_snappy_uncompress,mem0,8,3,28.081,10,0
bench_snappy_uncompress,mem0,8,4,28.811,10,0
bench_snappy_uncompress,mem0,16,0,28.854,18,0
bench_snappy_uncompress,mem0,16,1,28.443,18,0
bench_snappy_uncompress,mem0,16,2,28.495,18,0
bench_snappy_uncompress,mem0,16,3,29.037,18,0
bench_snappy_uncompress,mem0,16,4,27.914,18,0
bench_snappy_uncompress,mem0,32,0,28.295,34,0
bench_snappy_uncompress,mem0,32,1,28.379,34,0
bench_snappy_uncompress,mem0,32,2,28.590,34,0
bench_snappy_uncompress,mem0,32,3,29.078,34,0
bench_snappy_uncompress,mem0,32,4,28.517,34,0
bench_snappy_uncompress,mem0,64,0,28.782,67,0
bench_snappy_uncompress,mem0,64,1,28.541,67,0
bench_snappy_uncompress,mem0,64,2,28.746,67,0
bench_snappy_uncompress,mem0,64,3,28.402,67,0
bench_snappy_uncompress,mem0,64,4,28.705,67,0
bench_snappy_uncompress,mem0,128,0,28.914,132,0
bench_snappy_uncompress,mem0,128,1,28.495,132,0
bench_snappy_uncompress,mem0,128,2,28.478,132,0
bench_snappy_uncompress,mem0,128,3,29.100,132,0
bench_snappy_uncompress,mem0,128,4,29.119,132,0
bench_snappy_uncompress,mem0,256,0,30.331,260,0
bench_snappy_uncompress,mem0,256,1,28.811,260,0
bench_snappy_uncompress,mem0,256,2,29.080,260,0
bench_snappy_uncompress,mem0,256,3,28.698,260,0
bench_snappy_uncompress,mem0,256,4,29.068,260,0
bench_snappy_uncompress,mem0,512,0,29.389,274,0
bench_snappy_uncompress,mem0,512,1,29.711,274,0
bench_snappy_uncompress,mem0,512,2,29.214,274,0
bench_snappy_uncompress,mem0,512,3,29.396,274,0
bench_snappy_uncompress,mem0,512,4,29.240,274,0
bench_snappy_uncompress,mem0,1024,0,30.076,298,0
bench_snappy_uncompress,mem0,1024,1,30.519,298,0
bench_snappy_uncompress,mem0,1024,2,30.885,298,0
bench_snappy_uncompress,mem0,1024,3,30.067,298,0
bench_snappy_uncompress,mem0,1024,4,30.803,298,0
bench_snappy_uncompress,mem0,2048,0,33.280,346,0
bench_snappy_uncompress,mem0,2048,1,33.967,346,0
bench_snappy_uncompress,mem0,2048,2,33.859,346,0
bench_snappy_uncompress,mem0,2048,3,33.256,346,0
bench_snappy_uncompress,mem0,2048,4,33.312,346,0
bench_snappy_uncompress,mem0,4096,0,37.637,442,0
bench_snappy_uncompress,mem0,4096,1,37.463,442,0
bench_snappy_uncompress,mem0,4096,2,37.268,442,0
bench_snappy_uncompress,mem0,4096,3,37.819,442,0
bench_snappy_uncompress,mem0,4096,4,37.152,442,0
bench_snappy_uncompress,mem0,8192,0,46.702,634,0
bench_snappy_uncompress,mem0,8192,1,45.856,634,0
bench_snappy_uncompress,mem0,8192,2,46.747,634,0
bench_snappy_uncompress,mem0,8192,3,46.393,634,0
bench_snappy_uncompress,mem0,8192,4,46.594,634,0
bench_snappy_uncompress,mem0,16384,0,65.953,1019,0
bench_snappy_uncompress,mem0,16384,1,65.165,1019,0
bench_snappy_uncompress,mem0,16384,2,64.896,1019,0
bench_snappy_uncompress,mem0,16384,3,64.669,1019,0
bench_snappy_uncompress,mem0,16384,4,64.461,1019,0
bench_snappy_uncompress,mem0,32768,0,100.479,1787,0
bench_snappy_uncompress,mem0,32768,1,99.868,1787,0
bench_snappy_uncompress,mem0,32768,2,100.823,1787,0
bench_snappy_uncompress,mem0,32768,3,99.875,1787,0
bench_snappy_uncompress,mem0,32768,4,100.737,1787,0
bench_snappy_uncompress,mem0,65536,0,171.984,3323,0
bench_snappy_uncompress,mem0,65536,1,171.924,3323,0
bench_snappy_uncompress,mem0,65536,2,184.398,3323,0
bench_snappy_uncompress,mem0,65536,3,172.738,3323,0
bench_snappy_uncompress,mem0,65536,4,169.747,3323,0
bench_snappy_uncompress,mem0,131072,0,327.485,6643,0
bench_snappy_uncompress,mem0,131072,1,310.259,6643,0
bench_snappy_uncompress,mem0,131072,2,313.841,6643,0
bench_snappy_uncompress,mem0,131072,3,310.486,6643,0
bench_snappy_uncompress,mem0,131072,4,315.290,6643,0
bench_snappy_uncompress,mem0,262144,0,606.149,13283,0
bench_snappy_uncompress,mem0,262144,1,610.316,13283,0
bench_snappy_uncompress,mem0,262144,2,594.975,13283,0
bench_snappy_uncompress,mem0,262144,3,600.936,13283,0
bench_snappy_uncompress,mem0,262144,4,570.668,13283,0
bench_snappy_uncompress,mem0,524288,0,1143.813,26563,0
bench_snappy_uncompress,mem0,524288,1,1112.539,26563,0
bench_snappy_uncompress,mem0,524288,2,1125.844,26563,0
bench_snappy_uncompress,mem0,524288,3,1110.772,26563,0
bench_snappy_uncompress,mem0,524288,4,1126.498,26563,0
bench_snappy_uncompress,mem0,1048576,0,2222.173,53123,0
bench_snappy_uncompress,mem0,1048576,1,2229.953,53123,0
bench_snappy_uncompress,mem0,1048576,2,2193.773,53123,0
bench_snappy_uncompress,mem0,1048576,3,2227.325,53123,0
bench_snappy_uncompress,mem0,1048576,4,2194.531,53123,0
bench_snappy_uncompress,mem0,2097152,0,4487.840,106244,0
bench_snappy_uncompress,mem0,2097152,1,4357.237,106244,0
bench_snappy_uncompress,mem0,2097152,2,4417.939,106244,0
bench_snappy_uncompress,mem0,2097152,3,4366.960,106244,0
bench_snappy_uncompress,mem0,2097152,4,4356.924,106244,0
bench_snappy_uncompress,mem1,1,0,35.400,3,0
bench_snappy_uncompress,mem1,1,1,32.688,3,0
bench_snappy_uncompress,mem1,1,2,32.047,3,0
bench_snappy_uncompress,mem1,1,3,30.808,3,0
bench_snappy_uncompress,mem1,1,4,31.246,3,0
bench_snappy_uncompress,mem1,2,0,30.974,4,0
bench_snappy_uncompress,mem1,2,1,30.652,4,0
bench_snappy_uncompress,mem1,2,2,31.019,4,0
bench_snappy_uncompress,mem1,2,3,30.672,4,0
bench_snappy_uncompress,mem1,2,4,30.607,4,0
bench_snappy_uncompress,mem1,4,0,30.955,6,0
bench_snappy_uncompress,mem1,4,1,44.744,6,0
bench_snappy_uncompress,mem1,4,2,30.816,6,0
bench_snappy_uncompress,mem1,4,3,30.905,6,0
bench_snappy_uncompress,mem1,4,4,30.946,6,0
bench_snappy_uncompress,mem1,8,0,30.532,10,0
bench_snappy_uncompress,mem1,8,1,32.203,10,0
bench_snappy_uncompress,mem1,8,2,31.676,10,0
bench_snappy_uncompress,mem1,8,3,31.238,10,0
bench_snappy_uncompress,mem1,8,4,31.792,10,0
bench_snappy_uncompress,mem1,16,0,31.767,18,0
bench_snappy_uncompress,mem1,16,1,31.801,18,0
bench_snappy_uncompress,mem1,16,2,31.747,18,0
bench_snappy_uncompress,mem1,16,3,31.814,18,0
bench_snappy_uncompress,mem1,16,4,31.948,18,0
bench_snappy_uncompress,mem1,32,0,31.117,34,0
bench_snappy_uncompress,mem1,32,1,31.406,34,0
bench_snappy_uncompress,mem1,32,2,31.557,34,0
bench_snappy_uncompress,mem1,32,3,31.343,34,0
bench_snappy_uncompress,mem1,32,4,32.527,34,0
bench_snappy_uncompress,mem1,64,0,31.430,67,0
bench_snappy_uncompress,mem1,64,1,31.497,67,0
bench_snappy_uncompress,mem1,64,2,31.840,67,0
bench_snappy_uncompress,mem1,64,3,32.185,67,0
bench_snappy_uncompress,mem1,64,4,31.171,67,0
bench_snappy_uncompress,mem1,128,0,31.853,132,0
bench_snappy_uncompress,mem1,128,1,32.222,132,0
bench_snappy_uncompress,mem1,128,2,33.261,132,0
bench_snappy_uncompress,mem1,128,3,31.505,132,0
bench_snappy_uncompress,mem1,128,4,31.956,132,0
bench_snappy_uncompress,mem1,256,0,31.563,260,0
bench_snappy_uncompress,mem1,256,1,31.820,260,0
bench_snappy_uncompress,mem1,256,2,31.300,260,0
bench_snappy_uncompress,mem1,256,3,31.810,260,0
bench_snappy_uncompress,mem1,256,4,32.282,260,0
bench_snappy_uncompress,mem1,512,0,33.017,274,0
bench_snappy_uncompress,mem1,512,1,32.667,274,0
bench_snappy_uncompress,mem1,512,2,33.148,274,0
bench_snappy_uncompress,mem1,512,3,32.380,274,0
bench_snappy_uncompress,mem1,512,4,32.207,274,0
bench_snappy_uncompress,mem1,1024,0,34.366,298,0
bench_snappy_uncompress,mem1,1024,1,34.196,298,0
bench_snappy_uncompress,mem1,1024,2,35.109,298,0
bench_snappy_uncompress,mem1,1024,3,34.070,298,0
bench_snappy_uncompress,mem1,1024,4,34.673,298,0
bench_snappy_uncompress,mem1,2048,0,36.823,346,0
