size,mem0_us,sfi_us,sfi_over_mem0
geomean_ratio,,,1.7183858715206115
1,28.681,31.777,1.1079460269865067
2,28.177,31.348,1.11253859530823
4,27.91,31.172,1.1168756718022215
8,28.092,31.244,1.1122027623522712
16,28.036,31.457,1.1220216864031958
32,27.682,31.451,1.1361534571201504
64,27.92,31.297,1.1209527220630373
128,28.329,31.799,1.12248932189629
256,28.194,32.402,1.1492516138185431
512,29.004,34.543,1.1909736588056818
1024,29.984,39.354,1.3125
2048,32.984,45.77,1.3876424933300995
4096,37.124,62.421,1.6814190281219694
8192,45.473,96.099,2.1133199920832144
16384,64.299,161.482,2.511423194761971
32768,99.076,293.327,2.9606261859582546
65536,169.326,556.105,3.28422687596707
131072,313.502,1078.217,3.439266735140446
262144,592.687,2079.454,3.5085196739594426
524288,1153.383,4127.409,3.5785242196217557
1048576,2272.923,,
2097152,4347.795,16413.742,3.7751876525917156
