bench,variant,size,run,us,compressed_len,ret
bench_snappy_uncompress,mem1,1,0,34.411,3,0
bench_snappy_uncompress,mem1,1,1,29.881,3,0
bench_snappy_uncompress,mem1,1,2,30.144,3,0
bench_snappy_uncompress,mem1,1,3,29.677,3,0
bench_snappy_uncompress,mem1,1,4,29.868,3,0
bench_snappy_uncompress,mem1,2,0,29.971,4,0
bench_snappy_uncompress,mem1,2,1,29.302,4,0
bench_snappy_uncompress,mem1,2,2,29.886,4,0
bench_snappy_uncompress,mem1,2,3,29.781,4,0
bench_snappy_uncompress,mem1,2,4,30.193,4,0
bench_snappy_uncompress,mem1,4,0,29.678,6,0
bench_snappy_uncompress,mem1,4,1,29.909,6,0
bench_snappy_uncompress,mem1,4,2,33.463,6,0
bench_snappy_uncompress,mem1,4,3,29.785,6,0
bench_snappy_uncompress,mem1,4,4,29.589,6,0
bench_snappy_uncompress,mem1,8,0,30.008,10,0
bench_snappy_uncompress,mem1,8,1,33.113,10,0
bench_snappy_uncompress,mem1,8,2,29.905,10,0
bench_snappy_uncompress,mem1,8,3,29.925,10,0
bench_snappy_uncompress,mem1,8,4,30.182,10,0
bench_snappy_uncompress,mem1,16,0,29.786,18,0
bench_snappy_uncompress,mem1,16,1,29.949,18,0
bench_snappy_uncompress,mem1,16,2,29.984,18,0
bench_snappy_uncompress,mem1,16,3,30.045,18,0
bench_snappy_uncompress,mem1,16,4,29.833,18,0
bench_snappy_uncompress,mem1,32,0,44.832,34,0
bench_snappy_uncompress,mem1,32,1,29.481,34,0
bench_snappy_uncompress,mem1,32,2,29.680,34,0
bench_snappy_uncompress,mem1,32,3,29.412,34,0
bench_snappy_uncompress,mem1,32,4,30.138,34,0
bench_snappy_uncompress,mem1,64,0,31.195,67,0
bench_snappy_uncompress,mem1,64,1,30.044,67,0
bench_snappy_uncompress,mem1,64,2,29.774,67,0
bench_snappy_uncompress,mem1,64,3,29.954,67,0
bench_snappy_uncompress,mem1,64,4,30.282,67,0
bench_snappy_uncompress,mem1,128,0,31.481,132,0
bench_snappy_uncompress,mem1,128,1,31.206,132,0
bench_snappy_uncompress,mem1,128,2,31.872,132,0
bench_snappy_uncompress,mem1,128,3,31.357,132,0
bench_snappy_uncompress,mem1,128,4,31.271,132,0
bench_snappy_uncompress,mem1,256,0,32.271,260,0
bench_snappy_uncompress,mem1,256,1,35.738,260,0
bench_snappy_uncompress,mem1,256,2,32.796,260,0
bench_snappy_uncompress,mem1,256,3,32.023,260,0
bench_snappy_uncompress,mem1,256,4,33.299,260,0
bench_snappy_uncompress,mem1,512,0,38.312,274,0
bench_snappy_uncompress,mem1,512,1,34.582,274,0
bench_snappy_uncompress,mem1,512,2,34.528,274,0
bench_snappy_uncompress,mem1,512,3,34.134,274,0
bench_snappy_uncompress,mem1,512,4,35.152,274,0
bench_snappy_uncompress,mem1,1024,0,39.968,298,0
bench_snappy_uncompress,mem1,1024,1,39.347,298,0
bench_snappy_uncompress,mem1,1024,2,39.060,298,0
bench_snappy_uncompress,mem1,1024,3,40.837,298,0
bench_snappy_uncompress,mem1,1024,4,39.319,298,0
bench_snappy_uncompress,mem1,2048,0,47.551,346,0
bench_snappy_uncompress,mem1,2048,1,46.984,346,0
bench_snappy_uncompress,mem1,2048,2,47.794,346,0
bench_snappy_uncompress,mem1,2048,3,47.526,346,0
bench_snappy_uncompress,mem1,2048,4,47.725,346,0
bench_snappy_uncompress,mem1,4096,0,65.127,442,0
bench_snappy_uncompress,mem1,4096,1,64.562,442,0
bench_snappy_uncompress,mem1,4096,2,63.180,442,0
bench_snappy_uncompress,mem1,4096,3,64.698,442,0
bench_snappy_uncompress,mem1,4096,4,64.610,442,0
bench_snappy_uncompress,mem1,8192,0,99.673,634,0
bench_snappy_uncompress,mem1,8192,1,97.969,634,0
bench_snappy_uncompress,mem1,8192,2,98.824,634,0
bench_snappy_uncompress,mem1,8192,3,97.759,634,0
bench_snappy_uncompress,mem1,8192,4,98.526,634,0
bench_snappy_uncompress,mem1,16384,0,167.025,1019,0
bench_snappy_uncompress,mem1,16384,1,165.686,1019,0
bench_snappy_uncompress,mem1,16384,2,167.392,1019,0
bench_snappy_uncompress,mem1,16384,3,166.250,1019,0
bench_snappy_uncompress,mem1,16384,4,166.100,1019,0
bench_snappy_uncompress,mem1,32768,0,303.488,1787,0
bench_snappy_uncompress,mem1,32768,1,298.678,1787,0
bench_snappy_uncompress,mem1,32768,2,298.409,1787,0
bench_snappy_uncompress,mem1,32768,3,305.753,1787,0
bench_snappy_uncompress,mem1,32768,4,298.360,1787,0
bench_snappy_uncompress,mem1,65536,0,570.180,3323,0
bench_snappy_uncompress,mem1,65536,1,566.325,3323,0
bench_snappy_uncompress,mem1,65536,2,571.994,3323,0
bench_snappy_uncompress,mem1,65536,3,559.196,3323,0
bench_snappy_uncompress,mem1,65536,4,555.233,3323,0
bench_snappy_uncompress,mem1,131072,0,1126.875,6643,0
bench_snappy_uncompress,mem1,131072,1,1086.415,6643,0
bench_snappy_uncompress,mem1,131072,2,1084.748,6643,0
bench_snappy_uncompress,mem1,131072,3,1085.047,6643,0
bench_snappy_uncompress,mem1,131072,4,1084.292,6643,0
bench_snappy_uncompress,mem1,262144,0,2147.352,13283,0
bench_snappy_uncompress,mem1,262144,1,2131.660,13283,0
bench_snappy_uncompress,mem1,262144,2,2133.420,13283,0
bench_snappy_uncompress,mem1,262144,3,2135.416,13283,0
bench_snappy_uncompress,mem1,262144,4,2134.012,13283,0
bench_snappy_uncompress,mem1,524288,0,4260.556,26563,0
bench_snappy_uncompress,mem1,524288,1,4233.880,26563,0
bench_snappy_uncompress,mem1,524288,2,4235.964,26563,0
bench_snappy_uncompress,mem1,524288,3,4233.154,26563,0
bench_snappy_uncompress,mem1,524288,4,4233.885,26563,0
bench_snappy_uncompress,mem1,1048576,0,8512.255,53123,0
bench_snappy_uncompress,mem1,1048576,1,8440.772,53123,0
bench_snappy_uncompress,mem1,1048576,2,8441.444,53123,0
bench_snappy_uncompress,mem1,1048576,3,8443.000,53123,0
bench_snappy_uncompress,mem1,1048576,4,8439.652,53123,0
bench_snappy_uncompress,mem1,2097152,0,16975.906,106244,0
bench_snappy_uncompress,mem1,2097152,1,16919.217,106244,0
bench_snappy_uncompress,mem1,2097152,2,16908.363,106244,0
bench_snappy_uncompress,mem1,2097152,3,16892.703,106244,0
bench_snappy_uncompress,mem1,2097152,4,16885.296,106244,0
