bench,variant,size,run,us,compressed_len,ret
bench_snappy_compress,sfi,1,0,39.844,3,0
bench_snappy_compress,sfi,1,1,34.252,3,0
bench_snappy_compress,sfi,1,2,31.596,3,0
bench_snappy_compress,sfi,1,3,33.522,3,0
bench_snappy_compress,sfi,1,4,32.024,3,0
bench_snappy_compress,sfi,2,0,31.834,4,0
bench_snappy_compress,sfi,2,1,31.976,4,0
bench_snappy_compress,sfi,2,2,32.149,4,0
bench_snappy_compress,sfi,2,3,31.626,4,0
bench_snappy_compress,sfi,2,4,31.654,4,0
bench_snappy_compress,sfi,4,0,31.604,6,0
bench_snappy_compress,sfi,4,1,31.030,6,0
bench_snappy_compress,sfi,4,2,31.251,6,0
bench_snappy_compress,sfi,4,3,31.799,6,0
bench_snappy_compress,sfi,4,4,31.879,6,0
bench_snappy_compress,sfi,8,0,31.689,10,0
bench_snappy_compress,sfi,8,1,31.812,10,0
bench_snappy_compress,sfi,8,2,32.071,10,0
bench_snappy_compress,sfi,8,3,31.805,10,0
bench_snappy_compress,sfi,8,4,32.229,10,0
bench_snappy_compress,sfi,16,0,31.672,18,0
bench_snappy_compress,sfi,16,1,31.698,18,0
bench_snappy_compress,sfi,16,2,31.317,18,0
bench_snappy_compress,sfi,16,3,31.507,18,0
bench_snappy_compress,sfi,16,4,32.291,18,0
bench_snappy_compress,sfi,32,0,32.580,34,0
bench_snappy_compress,sfi,32,1,33.233,34,0
bench_snappy_compress,sfi,32,2,33.079,34,0
bench_snappy_compress,sfi,32,3,33.312,34,0
bench_snappy_compress,sfi,32,4,33.189,34,0
bench_snappy_compress,sfi,64,0,34.407,67,0
bench_snappy_compress,sfi,64,1,35.103,67,0
bench_snappy_compress,sfi,64,2,35.057,67,0
bench_snappy_compress,sfi,64,3,34.750,67,0
bench_snappy_compress,sfi,64,4,34.979,67,0
bench_snappy_compress,sfi,128,0,36.867,132,0
bench_snappy_compress,sfi,128,1,36.869,132,0
bench_snappy_compress,sfi,128,2,36.919,132,0
bench_snappy_compress,sfi,128,3,36.972,132,0
bench_snappy_compress,sfi,128,4,37.048,132,0
bench_snappy_compress,sfi,256,0,39.253,260,0
bench_snappy_compress,sfi,256,1,39.067,260,0
bench_snappy_compress,sfi,256,2,39.073,260,0
bench_snappy_compress,sfi,256,3,38.832,260,0
bench_snappy_compress,sfi,256,4,39.149,260,0
bench_snappy_compress,sfi,512,0,42.500,274,0
bench_snappy_compress,sfi,512,1,41.811,274,0
bench_snappy_compress,sfi,512,2,42.278,274,0
bench_snappy_compress,sfi,512,3,42.725,274,0
bench_snappy_compress,sfi,512,4,41.939,274,0
bench_snappy_compress,sfi,1024,0,48.509,298,0
bench_snappy_compress,sfi,1024,1,48.459,298,0
bench_snappy_compress,sfi,1024,2,48.280,298,0
bench_snappy_compress,sfi,1024,3,48.120,298,0
bench_snappy_compress,sfi,1024,4,48.460,298,0
bench_snappy_compress,sfi,2048,0,61.866,346,0
bench_snappy_compress,sfi,2048,1,62.412,346,0
bench_snappy_compress,sfi,2048,2,63.088,346,0
bench_snappy_compress,sfi,2048,3,62.071,346,0
bench_snappy_compress,sfi,2048,4,62.203,346,0
bench_snappy_compress,sfi,4096,0,91.879,442,0
bench_snappy_compress,sfi,4096,1,88.673,442,0
bench_snappy_compress,sfi,4096,2,88.569,442,0
bench_snappy_compress,sfi,4096,3,89.068,442,0
bench_snappy_compress,sfi,4096,4,88.574,442,0
bench_snappy_compress,sfi,8192,0,138.761,634,0
bench_snappy_compress,sfi,8192,1,138.123,634,0
bench_snappy_compress,sfi,8192,2,142.785,634,0
bench_snappy_compress,sfi,8192,3,140.712,634,0
bench_snappy_compress,sfi,8192,4,137.793,634,0
bench_snappy_compress,sfi,16384,0,242.807,1019,0
bench_snappy_compress,sfi,16384,1,247.234,1019,0
bench_snappy_compress,sfi,16384,2,241.736,1019,0
bench_snappy_compress,sfi,16384,3,240.974,1019,0
bench_snappy_compress,sfi,16384,4,241.438,1019,0
bench_snappy_compress,sfi,32768,0,394.583,1787,0
bench_snappy_compress,sfi,32768,1,393.130,1787,0
bench_snappy_compress,sfi,32768,2,393.048,1787,0
bench_snappy_compress,sfi,32768,3,394.464,1787,0
bench_snappy_compress,sfi,32768,4,393.307,1787,0
bench_snappy_compress,sfi,65536,0,698.440,3323,0
bench_snappy_compress,sfi,65536,1,699.036,3323,0
bench_snappy_compress,sfi,65536,2,673.404,3323,0
bench_snappy_compress,sfi,65536,3,671.463,3323,0
bench_snappy_compress,sfi,65536,4,671.960,3323,0
bench_snappy_compress,sfi,131072,0,1303.941,6643,0
