bench,variant,size,run,us,compressed_len,ret
bench_snappy_uncompress,sfi,1,0,34.621,3,0
bench_snappy_uncompress,sfi,1,1,33.033,3,0
bench_snappy_uncompress,sfi,1,2,31.777,3,0
bench_snappy_uncompress,sfi,1,3,31.479,3,0
bench_snappy_uncompress,sfi,1,4,31.436,3,0
bench_snappy_uncompress,sfi,2,0,31.453,4,0
bench_snappy_uncompress,sfi,2,1,31.003,4,0
bench_snappy_uncompress,sfi,2,2,31.348,4,0
bench_snappy_uncompress,sfi,2,3,31.416,4,0
bench_snappy_uncompress,sfi,2,4,31.013,4,0
bench_snappy_uncompress,sfi,4,0,31.172,6,0
bench_snappy_uncompress,sfi,4,1,31.076,6,0
bench_snappy_uncompress,sfi,4,2,31.019,6,0
bench_snappy_uncompress,sfi,4,3,31.259,6,0
bench_snappy_uncompress,sfi,4,4,31.669,6,0
bench_snappy_uncompress,sfi,8,0,30.651,10,0
bench_snappy_uncompress,sfi,8,1,31.603,10,0
bench_snappy_uncompress,sfi,8,2,31.244,10,0
bench_snappy_uncompress,sfi,8,3,31.207,10,0
bench_snappy_uncompress,sfi,8,4,31.441,10,0
bench_snappy_uncompress,sfi,16,0,31.604,18,0
bench_snappy_uncompress,sfi,16,1,35.632,18,0
bench_snappy_uncompress,sfi,16,2,30.809,18,0
bench_snappy_uncompress,sfi,16,3,31.457,18,0
bench_snappy_uncompress,sfi,16,4,31.160,18,0
bench_snappy_uncompress,sfi,32,0,31.497,34,0
bench_snappy_uncompress,sfi,32,1,31.170,34,0
bench_snappy_uncompress,sfi,32,2,31.502,34,0
bench_snappy_uncompress,sfi,32,3,31.451,34,0
bench_snappy_uncompress,sfi,32,4,31.136,34,0
bench_snappy_uncompress,sfi,64,0,30.996,67,0
bench_snappy_uncompress,sfi,64,1,31.297,67,0
bench_snappy_uncompress,sfi,64,2,31.584,67,0
bench_snappy_uncompress,sfi,64,3,31.234,67,0
bench_snappy_uncompress,sfi,64,4,31.681,67,0
bench_snappy_uncompress,sfi,128,0,31.893,132,0
bench_snappy_uncompress,sfi,128,1,31.945,132,0
bench_snappy_uncompress,sfi,128,2,31.690,132,0
bench_snappy_uncompress,sfi,128,3,31.346,132,0
bench_snappy_uncompress,sfi,128,4,31.799,132,0
bench_snappy_uncompress,sfi,256,0,32.402,260,0
bench_snappy_uncompress,sfi,256,1,33.489,260,0
bench_snappy_uncompress,sfi,256,2,31.976,260,0
bench_snappy_uncompress,sfi,256,3,32.665,260,0
bench_snappy_uncompress,sfi,256,4,32.329,260,0
bench_snappy_uncompress,sfi,512,0,34.722,274,0
bench_snappy_uncompress,sfi,512,1,34.644,274,0
bench_snappy_uncompress,sfi,512,2,34.375,274,0
bench_snappy_uncompress,sfi,512,3,34.438,274,0
bench_snappy_uncompress,sfi,512,4,34.543,274,0
bench_snappy_uncompress,sfi,1024,0,39.632,298,0
bench_snappy_uncompress,sfi,1024,1,39.354,298,0
bench_snappy_uncompress,sfi,1024,2,39.123,298,0
bench_snappy_uncompress,sfi,1024,3,39.028,298,0
bench_snappy_uncompress,sfi,1024,4,39.376,298,0
bench_snappy_uncompress,sfi,2048,0,45.962,346,0
bench_snappy_uncompress,sfi,2048,1,45.592,346,0
bench_snappy_uncompress,sfi,2048,2,45.636,346,0
bench_snappy_uncompress,sfi,2048,3,46.073,346,0
bench_snappy_uncompress,sfi,2048,4,45.770,346,0
bench_snappy_uncompress,sfi,4096,0,62.421,442,0
bench_snappy_uncompress,sfi,4096,1,62.128,442,0
bench_snappy_uncompress,sfi,4096,2,62.416,442,0
bench_snappy_uncompress,sfi,4096,3,62.445,442,0
bench_snappy_uncompress,sfi,4096,4,65.732,442,0
bench_snappy_uncompress,sfi,8192,0,97.015,634,0
bench_snappy_uncompress,sfi,8192,1,96.099,634,0
bench_snappy_uncompress,sfi,8192,2,96.543,634,0
bench_snappy_uncompress,sfi,8192,3,95.799,634,0
bench_snappy_uncompress,sfi,8192,4,95.471,634,0
bench_snappy_uncompress,sfi,16384,0,162.009,1019,0
bench_snappy_uncompress,sfi,16384,1,160.787,1019,0
bench_snappy_uncompress,sfi,16384,2,164.678,1019,0
bench_snappy_uncompress,sfi,16384,3,161.482,1019,0
bench_snappy_uncompress,sfi,16384,4,161.410,1019,0
bench_snappy_uncompress,sfi,32768,0,293.327,1787,0
bench_snappy_uncompress,sfi,32768,1,294.051,1787,0
bench_snappy_uncompress,sfi,32768,2,291.739,1787,0
bench_snappy_uncompress,sfi,32768,3,294.457,1787,0
bench_snappy_uncompress,sfi,32768,4,291.395,1787,0
bench_snappy_uncompress,sfi,65536,0,556.332,3323,0
bench_snappy_uncompress,sfi,65536,1,557.424,3323,0
bench_snappy_uncompress,sfi,65536,2,555.802,3323,0
bench_snappy_uncompress,sfi,65536,3,556.105,3323,0
bench_snappy_uncompress,sfi,65536,4,552.425,3323,0
bench_snappy_uncompress,sfi,131072,0,1093.936,6643,0
bench_snappy_uncompress,sfi,131072,1,1077.090,6643,0
bench_snappy_uncompress,sfi,131072,2,1076.140,6643,0
bench_snappy_uncompress,sfi,131072,3,1078.669,6643,0
bench_snappy_uncompress,sfi,131072,4,1078.217,6643,0
bench_snappy_uncompress,sfi,262144,0,2145.291,13283,0
bench_snappy_uncompress,sfi,262144,1,2079.321,13283,0
bench_snappy_uncompress,sfi,262144,2,2113.360,13283,0
bench_snappy_uncompress,sfi,262144,3,2079.454,13283,0
bench_snappy_uncompress,sfi,262144,4,2079.127,13283,0
bench_snappy_uncompress,sfi,524288,0,4165.675,26563,0
bench_snappy_uncompress,sfi,524288,1,4193.367,26563,0
bench_snappy_uncompress,sfi,524288,2,4124.826,26563,0
bench_snappy_uncompress,sfi,524288,3,4125.249,26563,0
bench_snappy_uncompress,sfi,524288,4,4127.409,26563,0
bench_snappy_uncompress,sfi,1048576,0,ERR,53123,verify_uncompress: -155
bench_snappy_uncompress,sfi,1048576,1,ERR,53123,verify_uncompress: -155
bench_snappy_uncompress,sfi,1048576,2,ERR,53123,verify_uncompress: -155
bench_snappy_uncompress,sfi,1048576,3,ERR,53123,verify_uncompress: -155
bench_snappy_uncompress,sfi,1048576,4,ERR,53123,verify_uncompress: -155
bench_snappy_uncompress,sfi,2097152,0,16540.798,106244,0
bench_snappy_uncompress,sfi,2097152,1,16421.829,106244,0
bench_snappy_uncompress,sfi,2097152,2,16409.613,106244,0
bench_snappy_uncompress,sfi,2097152,3,16413.742,106244,0
bench_snappy_uncompress,sfi,2097152,4,16402.469,106244,0
