func_idx	export	mem0_load	mem1_load	mem0_store	mem1_store	memcopy_1_0	memcopy_0_1	total_mem_ops
2	bench_fill_target_from_pool	0	1	0	2	0	0	3
4	snappy_init_env_with_len	0	0	0	0	0	0	0
5	snappy_max_compressed_length	0	0	0	0	0	0	0
6	snappy_compress_with_len	0	0	0	0	0	0	0
8	snappy_uncompress_with_len	0	1	0	9	0	0	10
12	memcmp	0	2	0	0	0	0	2
22	memcpy	0	1	0	1	0	0	2
23	snappy_compress	0	17	0	17	0	0	34
24	snappy_dbg_last_compressed_ptr	0	1	0	0	0	0	1
25	snappy_dbg_last_expected	0	1	0	0	0	0	1
26	snappy_dbg_last_n	0	1	0	0	0	0	1
27	snappy_dbg_last_stage	0	1	0	0	0	0	1
28	snappy_dbg_last_uncompressed_len	0	1	0	0	0	0	1
29	snappy_dbg_last_uncompressed_ptr	0	1	0	0	0	0	1
30	snappy_free_env	0	1	0	0	0	0	1
31	free	0	0	0	0	0	0	0
33	snappy_init_env	0	0	0	1	0	0	1
35	snappy_uncompress	0	35	0	25	0	0	60
36	snappy_uncompressed_length	0	0	0	0	0	0	0
37	snappy_uncompressed_length_with_len	0	0	0	0	0	0	0
38	snappy_verify_compress_len	0	0	0	0	0	0	0
42	memmove	0	2	0	2	0	0	4
43	malloc	0	0	0	0	0	0	0
44	memset	0	0	0	1	0	0	1
50	calloc	0	0	0	0	0	0	0
51	realloc	0	0	0	0	0	0	0
52	__mem0_load8	2	0	1	0	0	0	3
53	__mem0_store8	2	0	3	0	0	0	5
54	__mem1_load8	0	2	0	1	0	0	3
55	__mem1_store8	0	2	0	3	0	0	5
56	__mem1_alloc	0	14	0	11	0	0	25
60	__mem1_free	0	0	0	1	0	0	1
61	__memcpy_0_to_1	0	0	0	0	1	0	0
62	__memcpy_1_to_0	0	0	0	0	0	1	0
63	__mem1_ro_ptr	1	0	1	0	0	0	2
64	__mem1_out_ptr	1	0	1	0	0	0	2
65	__mem1_inout_ptr	1	0	1	0	0	0	2
66	__mem1_ro_ip	1	0	1	0	0	0	2
67	__mem1_out_ip	1	0	1	0	0	0	2
68	__mem1_inout_ip	1	0	1	0	0	0	2
69	__mem1_region_begin	0	0	0	0	0	0	0
70	__mem1_region_end	0	0	0	0	0	0	0
71	__mem0_cstrlen	8	0	6	0	0	0	14
72	__mem0_read_le_prefix	15	0	9	0	0	0	24
73	__mem1_memcmp_0_1	11	0	9	0	0	0	20
74	__mem1_warn	5	0	7	0	0	0	12
75	__mem1_warn_reset	0	0	4	0	0	0	4
76	__mem1_warn_count	1	0	0	0	0	0	1
77	__mem1_warn_last_code	1	0	0	0	0	0	1
78	__mem1_warn_last_arg	1	0	0	0	0	0	1
79	__mem1_warn_last_detail	1	0	0	0	0	0	1
